t,event_type,cause,new_dir,pos_from,pos_to,reason,robot_id
0,ROBOT_TURN,,"(1, 0, 0)",,,,2
0,ROBOT_DESTROYED,BLACK_HOLE,,,,,3
0,ROBOT_MOVE,,,"(0, 2, 3)","(0, 2, 3)",,4
0,ROBOT_DESTROYED,MONSTER_COLLISION,,,,,2
1,ROBOT_TURN,,"(0, 1, 0)",,,,1
1,ROBOT_TURN,,"(-1, 0, 0)",,,,4
1,ROBOT_TURN,,"(0, 1, 0)",,,,5
2,ROBOT_TURN,,"(0, 1, 0)",,,,4
2,ROBOT_MOVE,,,"(4, 4, 0)","(4, 4, 0)",,5
3,ROBOT_TURN,,"(-1, 0, 0)",,,,1
3,ROBOT_TURN,,"(-1, 0, 0)",,,,4
4,ROBOT_TURN,,"(0, 1, 0)",,,,4
4,ROBOT_TURN,,"(-1, 0, 0)",,,,5
4,ROBOT_DESTROYED,MONSTER_COLLISION,,,,,4
5,ROBOT_TURN,,"(0, 1, 0)",,,,1
5,ROBOT_MOVE,,,"(3, 4, 0)","(3, 4, 0)",,5
6,ROBOT_MOVE,,,"(2, 4, 0)","(2, 4, 0)",,5
7,ROBOT_TURN,,"(-1, 0, 0)",,,,1
8,ROBOT_TURN,,"(0, 1, 0)",,,,5
9,ROBOT_TURN,,"(0, 1, 0)",,,,1
10,ROBOT_TURN,,"(-1, 0, 0)",,,,5
11,ROBOT_TURN,,"(-1, 0, 0)",,,,1
12,ROBOT_TURN,,"(0, 1, 0)",,,,5
13,ROBOT_TURN,,"(0, 1, 0)",,,,1
14,ROBOT_TURN,,"(-1, 0, 0)",,,,5
15,ROBOT_TURN,,"(-1, 0, 0)",,,,1
16,ROBOT_TURN,,"(0, 1, 0)",,,,5
17,ROBOT_TURN,,"(0, 1, 0)",,,,1
18,ROBOT_TURN,,"(-1, 0, 0)",,,,5
19,ROBOT_TURN,,"(-1, 0, 0)",,,,1
20,ROBOT_TURN,,"(0, 1, 0)",,,,5
21,ROBOT_TURN,,"(0, 1, 0)",,,,1
22,ROBOT_TURN,,"(-1, 0, 0)",,,,5
23,ROBOT_TURN,,"(-1, 0, 0)",,,,1
24,ROBOT_TURN,,"(0, 1, 0)",,,,5
25,ROBOT_TURN,,"(0, 1, 0)",,,,1
26,ROBOT_TURN,,"(-1, 0, 0)",,,,5
27,ROBOT_TURN,,"(-1, 0, 0)",,,,1
28,ROBOT_TURN,,"(0, 1, 0)",,,,5
29,ROBOT_TURN,,"(0, 1, 0)",,,,1
30,ROBOT_DESTROYED,LOOP,,,,,1
30,ROBOT_DESTROYED,LOOP,,,,,5
30,SIMULATION_END,,,,,ALL_ROBOTS_DEAD,
